id,aff,type
"OBAMA, BARACK",DEM
1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,UNK
ADVANCING WISCONSIN INC,UNK
"CLINTON, HILLARY RODHAM",DEM
AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES  P E O P L E,UNK
"AMERICAN FEDERATION OF TEACHERS, AFL-CIO COMMITTEE ON POLITICAL EDUCATION",UNK
"MCCAIN, JOHN S.",REP
AMERICAN ISSUES PROJECT INC,UNK
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,DEM
BARNEY FRANK FOR CONGRESS COMMITTEE,DEM
BECERRA FOR CONGRESS,DEM
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,DEM
BILL NELSON FOR U S SENATE,UNK
CITIZENS FOR HARKIN,DEM
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,REP
DAVE CAMP FOR CONGRESS 2010,REP
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,DEM
DREIER FOR CONGRESS COMMITTEE,REP
Defenders of Willdife Action Fund,UNK
EMILY'S LIST,UNK
FEINSTEIN FOR SENATE,DEM
FRIENDS OF CONGRESSMAN GEORGE MILLER,DEM
FRIENDS OF DICK DURBIN COMMITTEE,DEM
FRIENDS OF JAY ROCKEFELLER,DEM
FRIENDS OF JIM CLYBURN,DEM
FRIENDS OF JIM SAXTON,REP
FRIENDS OF JOHN BOEHNER,REP
DEMOCRATIC PARTY OF VIRGINIA,DEM
FRIENDS OF MARK WARNER,DEM
FRIENDS OF MAX BAUCUS,DEM
FRIENDS OF RAHM EMANUEL,DEM
FRIENDS OF ROY BLUNT,REP
FRIENDS OF SENATOR CARL LEVIN,DEM
FRIENDS OF HILLARY,UNK
HILLARY CLINTON FOR PRESIDENT,DEM
HOYER FOR CONGRESS,DEM
"DODD, CHRISTOPHER J",DEM
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,UNK
JOHN KERRY FOR SENATE,DEM
KENNEDY FOR SENATE 2012,UNK
LEGACY COMMITTEE POLITICAL ACTION COMMITTEE; THE,UNK
LIFE AND LIBERTY PAC INC,UNK
NEW JERSEY DEMOCRATIC STATE COMMITTEE,DEM
LINDA STENDER FOR CONGRESS,DEM
Let Freedom Ring,UNK
MARK PRYOR FOR US SENATE,UNK
MCCRERY FOR CONGRESS COMMITTEE,REP
MORAN FOR KANSAS,REP
MOVEON.ORG POLITICAL ACTION,UNK
NANCY PELOSI FOR CONGRESS,DEM
NARAL Pro-Choice America,UNK
NATIONAL CAMPAIGN FUND,UNK
"NATIONAL REPUBLICAN TRUST PAC, THE",UNK
NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,UNK
NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE,UNK
REPUBLICAN FEDERAL COMMITTEE OF PENNSYLVANIA,REP
NORTH CAROLINA REPUBLICAN EXECUTIVE COMMITTEE,REP
REPUBLICAN NATIONAL COMMITTEE,REP
OUR COUNTRY DESERVES BETTER PAC,UNK
PEOPLE FOR PEARCE,REP
PEARCE FOR CONGRESS,REP
PROGRESSIVE FUTURE INCORPORATED,UNK
PUTNAM FOR CONGRESS,REP
RANGEL FOR CONGRESS,DEM
REPUBLICAN MAJORITY CAMPAIGN,UNK
SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION (SEIU COPE),UNK
REPUBLICAN PARTY OF TEXAS,REP
TEXANS FOR SENATOR JOHN CORNYN INC,REP
UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM),UNK
UNITED ASSOCIATION POLITICAL EDUCATION COMMITTEE (UNITED ASSOCIATION OF JOURNEYMEN AND APP,UNK
UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB,UNK
VAN HOLLEN FOR CONGRESS,DEM
WALLY HERGER FOR CONGRESS COMMITTEE,REP
