from_name	to_name	from_affiliation	to_affiliation	to_entity_type	SUM(transaction_amt)
AMERICA LEADS	CHRISTIE, CHRISTOPHER J	UNK	REP	CAN	19724250
AMERICAN FUTURE FUND	CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE	UNK	DEM	CAN	6784775
CLUB FOR GROWTH ACTION	CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE	UNK	DEM	CAN	7054232
CONSERVATIVE SOLUTIONS PAC	CHRISTIE, CHRISTOPHER J	UNK	REP	CAN	3275489
CONSERVATIVE SOLUTIONS PAC	CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE	UNK	DEM	CAN	6080765
CONSERVATIVE SOLUTIONS PAC	"CRUZ, RAFAEL EDWARD ""TED"""	UNK	REP	CAN	4819384
CONSERVATIVE SOLUTIONS PAC	RUBIO, MARCO	UNK	REP	CAN	41854296
CONSERVATIVE, AUTHENTIC, RESPONSIVE LEADERSHIP FOR YOU AND FOR AMERICA	FIORINA, CARLY	UNK	REP	CAN	3837155
DCCC	CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE	DEM	DEM	CAN	6693341
DNC SERVICES CORP./DEM. NAT'L COMMITTEE	CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE	DEM	DEM	CAN	22813448
FOR OUR FUTURE	CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE	UNK	DEM	CAN	3609610
FRIENDS OF SCHUMER	DSCC	DEM	DEM	COM	6000000
FUTURE45	TRUMP, DONALD J. / MICHAEL R. PENCE 	UNK	REP	CAN	24195670
GREAT AMERICA PAC	TRUMP, DONALD J. / MICHAEL R. PENCE 	UNK	REP	CAN	23881031
IMMIGRANT VOTERS WIN PAC	CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE	UNK	DEM	CAN	3464641
KEEP THE PROMISE III	"CRUZ, RAFAEL EDWARD ""TED"""	UNK	REP	CAN	4553465
LCV VICTORY FUND	CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE	UNK	DEM	CAN	6283002
LCV VICTORY FUND	NEW AMERICAN JOBS FUND	UNK	UNK	COM	3540000
LIFT LEADING ILLINOIS FOR TOMORROW	CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE	UNK	DEM	CAN	9922027
LIUNA BUILDING AMERICA	PRIORITIES USA ACTION	UNK	UNK	COM	3725000
MAKE AMERICA NUMBER 1	"CRUZ, RAFAEL EDWARD ""TED"""	UNK	REP	CAN	6265302
MAKE AMERICA NUMBER 1	TRUMP, DONALD J. / MICHAEL R. PENCE 	UNK	REP	CAN	4399116
NATIONAL NURSES UNITED FOR PATIENT PROTECTION	SANDERS, BERNARD	UNK	DEM	CAN	4788647
NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION	TRUMP, DONALD J. / MICHAEL R. PENCE 	UNK	REP	CAN	21086632
NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND	TRUMP, DONALD J. / MICHAEL R. PENCE 	UNK	REP	CAN	7448440
NEW DAY FOR AMERICA	KASICH, JOHN R	UNK	REP	CAN	11001215
NEW DAY INDEPENDENT MEDIA COMMITTEE INC	KASICH, JOHN R	UNK	REP	CAN	3848151
NEXTGEN CALIFORNIA ACTION COMMITTEE	CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE	UNK	DEM	CAN	13240861
NEXTGEN CLIMATE ACTION COMMITTEE	CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE	UNK	DEM	CAN	4675455
NEXTGEN CLIMATE ACTION COMMITTEE	FOR OUR FUTURE	UNK	UNK	COM	20000000
NEXTGEN CLIMATE ACTION COMMITTEE	UNITED WE CAN	UNK	UNK	COM	5000000
OUR PRINCIPLES PAC	CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE	UNK	DEM	CAN	16353117
PLANNED PARENTHOOD VOTES	CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE	UNK	DEM	CAN	6943074
PRIORITIES USA ACTION	CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE	UNK	DEM	CAN	132535920
PRIORITIES USA ACTION	IMMIGRANT VOTERS WIN PAC	UNK	UNK	COM	4000000
PRIORITIES USA ACTION	WOMEN VOTE!	UNK	UNK	COM	14531411
REBUILDING AMERICA NOW	TRUMP, DONALD J. / MICHAEL R. PENCE 	UNK	REP	CAN	21236539
REPUBLICAN NATIONAL COMMITTEE	TRUMP, DONALD J. / MICHAEL R. PENCE 	REP	REP	CAN	20314896
RGA RIGHT DIRECTION PAC	TRUMP, DONALD J. / MICHAEL R. PENCE 	UNK	REP	CAN	5728857
RIGHT TO RISE USA	BUSH, JEB	UNK	REP	CAN	83676461
SAVE AMERICA FROM ITS GOVERNMENT	TRUMP, DONALD J. / MICHAEL R. PENCE 	UNK	REP	CAN	3415286
SECURITY IS STRENGTH PAC	GRAHAM, LINDSEY O	UNK	REP	CAN	3514349
SENATE LEADERSHIP FUND	GRANITE STATE SOLUTIONS	UNK	UNK	COM	22020000
STAND FORTRUTH, INC.	"CRUZ, RAFAEL EDWARD ""TED"""	UNK	REP	CAN	4670956
STOP HILLARY PAC	TRUMP, DONALD J. / MICHAEL R. PENCE 	UNK	REP	CAN	3669421
TEA PARTY MAJORITY FUND	TRUMP, DONALD J. / MICHAEL R. PENCE 	UNK	REP	CAN	3375747
THE 2016 COMMITTEE	CARSON, BENJAMIN S SR MD	UNK	REP	CAN	5142233
TRUSTED LEADERSHIP PAC	"CRUZ, RAFAEL EDWARD ""TED"""	UNK	REP	CAN	3434861
UNITED WE CAN	CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE	UNK	DEM	CAN	13504344
WOMEN VOTE!	CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE	UNK	DEM	CAN	11627748
WORKING FOR WORKING AMERICANS - FEDERAL	PRIORITIES USA ACTION	UNK	UNK	COM	5000000
WORKING FOR WORKING AMERICANS - FEDERAL	SENATE MAJORITY PAC	UNK	UNK	COM	4700000
