from_name,to_name,amt
AMERICA LEADS,"CHRISTIE, CHRISTOPHER J",19
AMERICAN FUTURE FUND,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",6
CLUB FOR GROWTH ACTION,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",7
CONSERVATIVE SOLUTIONS PAC,"CHRISTIE, CHRISTOPHER J",3
CONSERVATIVE SOLUTIONS PAC,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",6
CONSERVATIVE SOLUTIONS PAC,"""CRUZ, RAFAEL EDWARD """"TED""""""",4
CONSERVATIVE SOLUTIONS PAC,"RUBIO, MARCO",41
"CONSERVATIVE, AUTHENTIC, RESPONSIVE LEADERSHIP FOR YOU AND FOR AMERICA","FIORINA, CARLY",3
DCCC,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",6
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",22
FOR OUR FUTURE,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",3
FRIENDS OF SCHUMER,DSCC,6
FUTURE45,"TRUMP, DONALD J. / MICHAEL R. PENCE ",24
GREAT AMERICA PAC,"TRUMP, DONALD J. / MICHAEL R. PENCE ",23
IMMIGRANT VOTERS WIN PAC,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",3
KEEP THE PROMISE III,"""CRUZ, RAFAEL EDWARD """"TED""""""",4
LCV VICTORY FUND,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",6
LCV VICTORY FUND,NEW AMERICAN JOBS FUND,3
LIFT LEADING ILLINOIS FOR TOMORROW,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",9
LIUNA BUILDING AMERICA,PRIORITIES USA ACTION,3
MAKE AMERICA NUMBER 1,"""CRUZ, RAFAEL EDWARD """"TED""""""",6
MAKE AMERICA NUMBER 1,"TRUMP, DONALD J. / MICHAEL R. PENCE ",4
NATIONAL NURSES UNITED FOR PATIENT PROTECTION,"SANDERS, BERNARD",4
NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,"TRUMP, DONALD J. / MICHAEL R. PENCE ",21
NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,"TRUMP, DONALD J. / MICHAEL R. PENCE ",7
NEW DAY FOR AMERICA,"KASICH, JOHN R",11
NEW DAY INDEPENDENT MEDIA COMMITTEE INC,"KASICH, JOHN R",3
NEXTGEN CALIFORNIA ACTION COMMITTEE,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",13
NEXTGEN CLIMATE ACTION COMMITTEE,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",4
NEXTGEN CLIMATE ACTION COMMITTEE,FOR OUR FUTURE,20
NEXTGEN CLIMATE ACTION COMMITTEE,UNITED WE CAN,5
OUR PRINCIPLES PAC,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",16
PLANNED PARENTHOOD VOTES,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",6
PRIORITIES USA ACTION,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",132
PRIORITIES USA ACTION,IMMIGRANT VOTERS WIN PAC,4
PRIORITIES USA ACTION,WOMEN VOTE!,14
REBUILDING AMERICA NOW,"TRUMP, DONALD J. / MICHAEL R. PENCE ",21
REPUBLICAN NATIONAL COMMITTEE,"TRUMP, DONALD J. / MICHAEL R. PENCE ",20
RGA RIGHT DIRECTION PAC,"TRUMP, DONALD J. / MICHAEL R. PENCE ",5
RIGHT TO RISE USA,"BUSH, JEB",83
SAVE AMERICA FROM ITS GOVERNMENT,"TRUMP, DONALD J. / MICHAEL R. PENCE ",3
SECURITY IS STRENGTH PAC,"GRAHAM, LINDSEY O",3
SENATE LEADERSHIP FUND,GRANITE STATE SOLUTIONS,22
"STAND FORTRUTH, INC.","""CRUZ, RAFAEL EDWARD """"TED""""""",4
STOP HILLARY PAC,"TRUMP, DONALD J. / MICHAEL R. PENCE ",3
TEA PARTY MAJORITY FUND,"TRUMP, DONALD J. / MICHAEL R. PENCE ",3
THE 2016 COMMITTEE,"CARSON, BENJAMIN S SR MD",5
TRUSTED LEADERSHIP PAC,"""CRUZ, RAFAEL EDWARD """"TED""""""",3
UNITED WE CAN,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",13
WOMEN VOTE!,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",11
WORKING FOR WORKING AMERICANS - FEDERAL,PRIORITIES USA ACTION,5
WORKING FOR WORKING AMERICANS - FEDERAL,SENATE MAJORITY PAC,4
